hanja,initial,medial,final,hangul,tone
箇,k,ai,,개,H
我,,ai,,애,R
左,ts,wa,,좌,R
佐,ts,wa,,좌,R
多,t,a,,다,L
他,tʰ,a,,타,L
拖,tʰ,a,,타,R
駝,tʰ,a,,타,L
陀,t,a,,다,L
陀,tʰ,a,,타,L
鮀,tʰ,a,,타,L
駄,tʰ,a,,타,L
跎,tʰ,a,,타,L
酡,tʰ,a,,타,L
舵,tʰ,a,,타,R
爹,t,a,,다,L
大,t,a,,다,
挪,n,a,,나,L
儺,n,a,,나,L
那,n,a,,나,L
羅,r,a,,라,R
蘿,r,a,,라,L
鑼,r,a,,라,L
籮,r,a,,라,L
左,ts,a,,자,R
佐,ts,a,,자,
搓,tsʰ,a,,차,L
蹉,tsʰ,a,,차,L
磋,tsʰ,a,,차,L
鹺,ts,a,,자,L
咱,ts,a,,자,L
娑,s,a,,사,L
挱,s,a,,사,L
歌,k,a,,가,L
哥,k,a,,가,L
柯,k,a,,가,L
珂,k,a,,가,L
可,k,a,,가,R
坷,k,a,,가,R
蛾,,a,,아,L
鵝,,a,,아,L
莪,,a,,아,L
峨,,a,,아,L
我,,a,,아,R
餓,,a,,아,R
呵,h,a,,하,
訶,h,a,,하,L
河,h,a,,하,L
何,h,a,,하,L
荷,h,a,,하,R/L
魺,h,a,,하,L
阿,,a,,아,L
賀,h,a,,하,
阿,,a,,아,L
咱,ts,a,m,잠,R
鹺,s,a,,사,L
羅,r,o,,로,
鑼,r,o,,로,
魔,m,ai,,매,
鎖,s,oi,,쇠,
禾,h,oi,,회,R
矬,ts,wa,,좌,L
矬,tsʰ,wa,,촤,L
坐,ts,wa,,좌,R
剉,tsʰ,wa,,촤,R
座,ts,wa,,좌,R
鎖,s,wa,,솨,R
鍋,k,wa,,과,L
鍋,,wa,,와,L
戈,k,wa,,과,L
堝,k,wa,,과,L
腡,k,wa,,과,L
果,k,wa,,과,R
裹,k,wa,,과,R
菓,k,wa,,과,R
過,k,wa,,과,R/H
科,k,wa,,과,L
窠,k,wa,,과,L
蝌,k,wa,,과,L
課,k,wa,,과,R
騍,k,wa,,과,R
臥,,wa,,와,R
火,h,wa,,화,R
貨,h,wa,,화,R/H
和,h,wa,,화,L
禾,h,wa,,화,L
禍,h,wa,,화,R
和,h,wa,,화,R/H
㘞,h,wa,,화,R/H
倭,,wa,,와,L
窩,,wa,,와,L
渦,,wa,,와,L
萵,,wa,,와,L
瑣,s,wai,,쇄,
鎖,s,wai,,쇄,
剉,tsʰ,wa,r,촬,
倭,,wai,,왜,
波,p,a,,바,L
波,pʰ,a,,파,L
菠,pʰ,a,,파,L
簸,pʰ,a,,파,R
播,pʰ,a,,파,R/H
坡,pʰ,a,,파,L
玻,pʰ,a,,파,
頗,pʰ,a,,파,R
破,pʰ,a,,파,R
婆,pʰ,a,,파,L
婆,p,a,,바,L
蔢,pʰ,a,,파,R
魔,m,a,,마,L
磨,m,a,,마,L/R
摩,m,a,,마,R
劘,m,a,,마,R
磨,m,a,,마,
朵,tʰ,a,,타,H
欝,tʰ,a,,타,R
唾,tʰ,a,,타,
涶,tʰ,a,,타,R
惰,tʰ,a,,타,R
墮,tʰ,a,,타,R
𮃄,tʰ,a,,타,R/H
捼,n,a,,나,L
懦,n,a,,나,R
糯,n,a,,나,R
騾,r,a,,라,R
螺,r,a,,라,L
𥡜,r,a,,라,L
裸,r,a,,라,H
裸,n,a,,나,R
瘰,r,a,,라,L
蓏,r,a,,라,R
銼,tsʰ,a,,차,L
坐,ts,a,,자,
座,ts,a,,자,
蓑,s,a,,사,L
梭,s,a,,사,L
鎖,s,a,,사,
玻,p,o,,보,
騾,r,o,,로,L
鍋,k,o,,고,
